City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
522,Talcahuano,CL,-36.72,-73.12,60.8,72,0,16.11,clear sky
523,Russell,US,32.35,-85.2,69.8,88,75,1.57,broken clouds
524,Ambon,ID,-3.7,128.18,93.2,71,20,2.24,few clouds
525,Zhob,PK,31.34,69.45,47.08,45,53,1.63,broken clouds
526,Griffith,US,41.53,-87.42,39.2,65,1,4.7,clear sky
527,Antalaha,MG,-14.9,50.28,73.17,90,27,4.05,scattered clouds
528,Marzuq,YE,14.4,46.47,60.82,83,0,4.03,clear sky
529,Tabou,CI,4.42,-7.35,77.65,83,83,1.61,broken clouds
530,Asyut,EG,27.18,31.18,53.6,66,0,6.93,clear sky
531,Iringa,TZ,-7.77,35.7,59.77,81,13,6.42,few clouds
532,Sabang,ID,5.89,95.32,81.48,76,100,10.51,light rain
533,Kichmengskiy Gorodok,RU,59.98,45.79,15.12,95,98,8.16,overcast clouds
534,Cariamanga,EC,-4.33,-79.55,55.83,100,99,3.47,light rain
535,Pulsano,IT,40.38,17.36,51.01,87,34,5.01,scattered clouds
536,Lakatoro,VU,-16.1,167.42,82.4,78,75,6.93,broken clouds
537,Clarence Town,AU,-32.58,151.78,93.2,32,40,20.8,scattered clouds
538,Ostrovnoy,RU,68.05,39.51,26.73,95,100,17.83,overcast clouds
539,Isangel,VU,-19.55,169.27,80.6,65,40,9.17,scattered clouds
540,Sompeta,IN,18.93,84.6,73.51,55,91,6.85,overcast clouds
541,Alim,PH,9.56,122.49,82.45,76,53,13.76,broken clouds
542,Medina,SA,24.47,39.61,71.6,46,0,3.36,clear sky
543,Srednekolymsk,RU,67.45,153.68,-2.34,92,100,6.55,overcast clouds
544,Pueblo,US,38.25,-104.61,46.4,45,1,5.84,clear sky
545,Yomou,GN,7.56,-9.27,70.03,93,25,1.79,scattered clouds
546,Ariquemes,BR,-9.91,-63.04,75.06,89,96,3.42,light rain
547,Orda,RU,57.2,56.91,12.67,95,23,4.7,few clouds
548,Cobija,BO,-11.03,-68.77,78.8,88,75,6.93,shower rain
549,Suntar,RU,62.14,117.63,-4.02,91,98,5.01,overcast clouds
550,Mahon,ES,39.89,4.27,64.4,82,100,13.87,overcast clouds
551,Ramhormoz,IR,31.28,49.6,65.91,66,100,2.51,light rain
552,Banda Aceh,ID,5.56,95.32,78.37,76,100,5.21,light rain
553,Phalombe,MW,-15.81,35.65,69.87,84,47,4.41,scattered clouds
554,Poindimie,NC,-20.93,165.33,79.95,46,14,8.08,few clouds
555,Pitimbu,BR,-7.47,-34.81,78.8,78,20,11.41,few clouds
556,Valle Hermoso,MX,25.67,-97.83,80.6,78,40,18.34,scattered clouds
